lyn index =  5
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
102 911.401800927 -3.06179513725e+13 0.000247373929722
103 911.70483123 -3.06077746499e+13 0.000247560674149
104 912.007861533 -3.059760469e+13 0.00024774749742
105 912.310891836 -3.05874414863e+13 0.000247934399544
106 912.613922139 -3.05772850318e+13 0.000248121380527
107 912.916952442 -3.05671353199e+13 0.000248308440376
108 913.219982745 -3.05569923439e+13 0.000248495579099
109 913.523013048 -3.05468560971e+13 0.000248682796702
110 913.826043351 -3.05367265727e+13 0.000248870093193
111 914.129073654 -3.05266037642e+13 0.000249057468579
112 914.432103957 -3.05164876648e+13 0.000249244922866
113 914.73513426 -3.05063782678e+13 0.000249432456062
114 915.038164563 -3.04962755666e+13 0.000249620068173
115 915.341194866 -3.04861795546e+13 0.000249807759208
116 915.64422517 -3.04760902251e+13 0.000249995653313
117 915.947255473 -3.04660075714e+13 0.000250183673267
118 916.250285776 -3.0455931587e+13 0.000250371859508
119 916.553316079 -3.04458622652e+13 0.000250560223002
120 916.856346382 -3.04357995994e+13 0.000250748779498
121 917.159376685 -3.04257435831e+13 0.000250937037336
122 917.462406988 -3.04156942096e+13 0.000251125931972
123 917.765437291 -3.04056514724e+13 0.000251315080471
124 918.068467594 -3.03956153649e+13 0.000251503727533
125 918.371497897 -3.03855858804e+13 0.000251693308606
126 918.6745282 -3.03755630126e+13 0.000251882402639
127 918.977558503 -3.03655467548e+13 0.000252072646174
128 919.280588806 -3.03555371005e+13 0.000252262326256
129 919.583619109 -3.03455340431e+13 0.000252453582871
130 919.886649412 -3.03355375762e+13 0.0002526447838
131 920.189679715 -3.03255476932e+13 0.000252838704896
132 920.492710018 -3.03155643876e+13 0.00025303427379
133 920.795740321 -3.0305587653e+13 0.000253236351819
134 921.098770624 -3.02956174828e+13 0.000253446205299
135 921.401800927 -3.02856538706e+13 0.000253668337794
136 921.70483123 -3.02756968099e+13 0.0002539000874
137 922.007861533 -3.02657462942e+13 0.000254138069298
138 922.310891836 -3.02558023171e+13 0.000254373451392
139 922.613922139 -3.02458648722e+13 0.000254602582143
140 922.916952442 -3.0235933953e+13 0.000254824726525
141 923.219982745 -3.02260095531e+13 0.000255045023956
142 923.523013048 -3.0216091666e+13 0.000255269062731
143 923.826043351 -3.02061802854e+13 0.000255504485122
144 924.129073654 -3.01962754049e+13 0.000255773435402
145 924.432103957 -3.01863770181e+13 0.000256258001967
146 924.73513426 -3.01764851185e+13 0.00026334716199
147 925.038164563 -3.01665996999e+13 0.000264001713333
148 925.341194866 -3.01567207558e+13 0.000264719492978
149 925.64422517 -3.01468482799e+13 0.000265529653263
150 925.947255473 -3.01369822658e+13 0.000266461409834
151 926.250285776 -3.01271227072e+13 0.000267553276999
152 926.553316079 -3.01172695978e+13 0.000268881328857
153 926.856346382 -3.01074229312e+13 0.000270559135643
154 927.159376685 -3.00975827011e+13 0.000272758602488
155 927.462406988 -3.00877489012e+13 0.000275750010034
156 927.765437291 -3.00779215253e+13 0.000279959783696
157 928.068467594 -3.00681005669e+13 0.000286100222734
158 928.371497897 -3.00582860199e+13 0.000295445850911
159 928.6745282 -3.00484778779e+13 0.000310577943712
160 928.977558503 -3.00386761347e+13 0.000337249853467
161 929.280588806 -3.00288807841e+13 0.00038822808685
162 929.583619109 -3.00190918197e+13 0.000487700794038
163 929.886649412 -3.00093092354e+13 0.000667465531214
164 930.189679715 -2.99995330248e+13 0.000940570813534
165 930.492710018 -2.99897631818e+13 0.00125570015632
166 930.795740321 -2.99799997002e+13 0.00148175446369
167 931.098770624 -2.99702425737e+13 0.00147895214426
168 931.401800927 -2.99604917961e+13 0.00121793641347
169 931.70483123 -2.99507473613e+13 0.000816771355113
170 932.007861533 -2.99410092631e+13 0.000443877853341
171 932.310891836 -2.99312774952e+13 0.000196514815955
172 932.613922139 -2.99215520515e+13 7.29528354883e-05
173 932.916952442 -2.99118329258e+13 2.49739335308e-05
174 933.219982745 -2.99021201121e+13 9.81448103879e-06
175 933.523013048 -2.98924136041e+13 5.41329478092e-06
176 933.826043351 -2.98827133957e+13 3.87680246561e-06
177 934.129073654 -2.98730194807e+13 3.0835263579e-06
178 934.432103957 -2.98633318531e+13 2.5544079489e-06
179 934.73513426 -2.98536505068e+13 2.16728206281e-06
180 935.038164563 -2.98439754355e+13 1.87234933468e-06
181 935.341194866 -2.98343066333e+13 1.6404509585e-06
182 935.64422517 -2.9824644094e+13 1.45432042681e-06
183 935.947255473 -2.98149878116e+13 1.30190003338e-06
184 936.250285776 -2.980533778e+13 1.17521143415e-06
185 936.553316079 -2.9795693993e+13 1.06857661067e-06
186 936.856346382 -2.97860564448e+13 9.77766588063e-07
187 937.159376685 -2.97764251291e+13 9.00083573102e-07
188 937.462406988 -2.976680004e+13 8.32231615713e-07
189 937.765437291 -2.97571811713e+13 7.72850095004e-07
190 938.068467594 -2.97475685172e+13 7.20509893013e-07
191 938.371497897 -2.97379620716e+13 6.74441819368e-07
192 938.6745282 -2.97283618284e+13 6.33574409206e-07
193 938.977558503 -2.97187677816e+13 5.96496632653e-07
194 939.280588806 -2.97091799254e+13 5.63132718943e-07
195 939.583619109 -2.96995982535e+13 5.32956754755e-07
196 939.886649412 -2.96900227602e+13 5.05679926064e-07
197 940.189679715 -2.96804534394e+13 4.8089153653e-07
198 940.492710018 -2.96708902851e+13 4.59304436159e-07
199 940.795740321 -2.96613332914e+13 4.38278077641e-07
output effective Lya opacity from ...  output/IGM_attenuation_01_DLA_ly5.output
