lyn index =  26
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
183 918.11820009 -2.98117834245e+13 9.91330575559e-11
184 918.421230393 -2.98019471168e+13 8.95390584254e-11
185 918.724260696 -2.97921172978e+13 8.14512843402e-11
186 919.027290999 -2.97822939612e+13 7.46270747461e-11
187 919.330321302 -2.97724771006e+13 6.86929880709e-11
188 919.633351605 -2.97626667095e+13 6.35390174387e-11
189 919.936381908 -2.97528627815e+13 5.90283851253e-11
190 920.239412211 -2.97430653104e+13 5.5052189218e-11
191 920.542442514 -2.97332742896e+13 5.15095836452e-11
192 920.845472817 -2.97234897128e+13 4.84121392296e-11
193 921.14850312 -2.97137115737e+13 4.55935056738e-11
194 921.451533423 -2.9703939866e+13 4.3054631627e-11
195 921.754563726 -2.96941745832e+13 4.07597778066e-11
196 922.057594029 -2.9684415719e+13 3.86777659187e-11
197 922.360624332 -2.96746632671e+13 3.67705942429e-11
198 922.663654635 -2.96649172213e+13 3.50028127304e-11
199 922.966684938 -2.96551775751e+13 3.34343616596e-11
output effective Lya opacity from ...  output/IGM_attenuation_01_LLS_ly26.output
